from_state,to_state,count
P_M_PAS,P_M_PAS,90331
P_A_PAS,P_A_PAS,30425
P_D_PAS,P_D_PAS,24579
P_D_PAS,P_M_PAS,19313
P_M_PAS,P_A_PAS,17706
P_A_PAS,P_A_PER,17071
P_M_PAS,P_M_PER,16513
P_M_PAS,P_D_PAS,10687
P_M_PAS,P_A_PER,10573
P_A_PAS,P_M_PAS,8645
P_M_REC,P_M_PAS,8543
P_M_PER,P_M_PAS,7552
P_D_PAS,P_M_PER,6966
P_D_PAS,P_D_PER,6721
P_D_REC,P_D_PAS,6611
P_A_PER,P_D_PAS,6275
P_A_PAS,P_A_FIN,6052
P_A_PER,P_A_PAS,5187
P_D_PER,P_M_PAS,4395
P_A_PER,P_A_REC,4385
P_M_PER,P_D_PAS,4215
P_M_PER,P_M_REC,4157
P_A_PER,P_D_REC,3947
P_A_PER,S_D_REC,3814
P_A_REC,P_A_PAS,3540
S_M_PER,P_M_PAS,3492
P_D_PER,S_M_PER,3053
S_D_PER,P_M_PAS,2956
S_D_REC,S_D_PER,2829
S_M_PER,P_M_REC,2600
S_D_PAS,S_D_PER,2560
P_A_PER,P_A_PER,2502
P_A_PER,P_D_PER,2487
P_A_FIN,P_D_PAS,2354
P_A_REC,P_A_PER,2254
P_A_FIN,P_D_PER,2159
P_M_PER,S_M_PER,2130
P_M_PAS,P_D_PER,2128
P_A_PER,S_D_PER,2042
P_M_PER,P_D_REC,2037
P_M_REC,P_M_PER,1969
P_A_REC,P_A_FIN,1932
P_D_PER,P_D_PAS,1811
S_M_PAS,S_M_PER,1809
P_A_PER,P_M_PAS,1788
P_M_PER,S_M_REC,1743
P_D_REC,P_D_PER,1680
S_D_PER,P_M_REC,1656
S_D_PER,P_A_PAS,1627
P_D_PER,P_M_REC,1569
S_D_REC,S_D_PAS,1529
S_D_PAS,S_M_PER,1527
P_M_PER,S_D_PER,1479
P_A_PER,S_D_PAS,1460
P_M_PER,P_A_PAS,1395
P_M_PAS,P_A_FIN,1377
S_D_PER,P_A_REC,1309
P_M_PER,P_M_PER,1306
S_M_PER,P_D_PAS,1278
P_A_PER,P_M_REC,1222
P_A_FIN,P_M_PAS,1198
P_M_PER,S_D_REC,1177
S_M_PER,P_M_PER,1167
P_D_PAS,P_A_PER,1158
P_A_FIN,P_A_REC,1067
P_D_PAS,P_A_PAS,1065
P_A_FIN,P_A_PAS,1018
P_D_REC,P_M_PAS,992
P_M_PER,S_M_PAS,979
P_A_PAS,P_M_PER,976
S_M_REC,S_M_PER,959
P_M_PER,S_D_PAS,954
P_D_PER,P_A_PAS,912
P_M_PER,P_D_PER,883
S_M_PER,P_D_REC,862
P_A_FIN,P_A_PER,837
P_D_PER,P_D_REC,822
P_M_REC,P_A_PAS,776
P_M_PER,P_A_REC,754
S_D_PER,P_M_PER,751
P_D_PER,S_M_PAS,740
P_D_PER,P_M_PER,720
P_D_PER,S_M_REC,675
S_M_REC,S_M_PAS,668
S_D_PER,P_D_PAS,649
S_A_PER,P_D_PAS,612
P_D_PER,S_D_PER,604
S_A_PER,P_D_REC,554
S_M_PAS,S_A_PER,488
S_D_PER,P_A_PER,473
P_D_PER,P_A_REC,471
S_M_REC,P_M_PAS,400
P_D_PER,P_D_PER,398
P_M_REC,P_D_PAS,385
S_M_REC,P_M_REC,384
P_A_REC,P_M_PAS,371
P_A_PER,P_M_PER,369
S_D_REC,P_A_REC,368
P_M_PER,P_A_PER,365
P_A_FIN,P_D_REC,364
P_D_PER,S_A_PER,359
P_A_FIN,S_D_REC,345
S_D_PER,P_D_REC,343
S_M_PER,P_D_PER,337
P_M_REC,P_A_PER,326
S_D_REC,P_A_PAS,292
P_A_PER,S_M_REC,289
P_M_PAS,P_M_REC,287
P_A_PAS,P_D_PAS,285
S_D_REC,S_M_PER,283
P_D_PER,S_D_PAS,275
P_D_PER,S_A_REC,274
S_D_PER,P_D_PER,260
P_D_PER,S_D_REC,245
S_M_PAS,S_D_PER,242
P_D_PER,P_A_PER,241
P_M_REC,P_M_REC,216
S_A_PAS,S_A_PER,214
P_A_PER,S_M_PER,195
P_D_REC,P_M_PER,183
S_D_REC,S_M_PAS,183
S_M_PER,P_A_PAS,178
S_A_PER,P_D_PER,175
P_A_REC,P_D_PAS,172
S_M_REC,P_M_PER,161
P_A_PAS,P_A_REC,160
P_A_REC,S_D_REC,160
S_A_REC,S_A_PER,158
P_A_FIN,P_M_REC,145
S_D_PAS,S_A_PER,143
S_D_REC,P_A_PER,143
P_M_PAS,P_D_REC,140
P_A_REC,P_A_REC,139
P_A_PAS,P_D_REC,133
P_A_PAS,S_D_PER,130
P_A_REC,P_D_REC,130
S_M_PER,S_M_PER,130
P_M_PAS,P_A_REC,129
S_D_REC,P_M_PAS,125
P_A_PAS,S_D_REC,124
S_M_PER,P_A_REC,122
P_A_PAS,P_D_PER,114
S_M_REC,S_A_PER,114
P_A_FIN,S_D_PER,113
S_D_REC,P_D_PER,113
P_D_PAS,P_A_FIN,112
P_D_PER,S_A_PAS,103
P_M_PAS,S_D_REC,100
P_A_PER,S_M_PAS,99
P_M_PAS,S_M_REC,94
S_D_PAS,P_M_PAS,89
P_A_REC,S_D_PER,87
P_M_REC,P_A_FIN,86
P_M_PAS,S_D_PER,85
P_M_REC,S_M_PER,80
S_M_PER,P_A_PER,78
P_A_FIN,S_D_PAS,77
P_M_PAS,S_M_PER,77
P_M_PER,S_A_REC,77
P_M_REC,S_M_REC,77
P_A_REC,P_D_PER,76
S_D_PER,S_D_PER,76
S_A_PER,P_M_REC,75
P_D_PAS,P_M_REC,74
S_M_PAS,P_M_PAS,69
S_M_PER,S_M_REC,69
P_M_PAS,S_D_PAS,68
S_D_PER,S_D_REC,66
P_A_PER,P_A_FIN,65
P_M_PER,S_A_PER,65
S_A_PER,P_M_PAS,64
S_D_REC,P_M_REC,63
S_A_REC,P_D_REC,62
S_D_PER,S_M_PER,62
S_M_REC,P_D_PAS,61
P_M_REC,P_D_PER,60
P_A_PAS,S_D_PAS,59
S_A_REC,P_D_PAS,56
S_A_REC,S_A_PAS,56
S_M_REC,S_D_PAS,55
P_A_REC,P_M_PER,53
P_A_REC,P_M_REC,53
S_D_PAS,P_M_PER,52
S_M_PAS,P_M_PER,52
P_A_REC,S_D_PAS,50
S_M_REC,S_A_PAS,49
S_M_PAS,P_M_REC,46
S_D_PER,P_A_FIN,45
S_D_REC,S_D_REC,45
P_D_REC,P_D_REC,42
S_A_REC,S_A_FIN,42
S_M_REC,S_D_PER,42
P_A_FIN,P_A_FIN,41
P_D_PAS,P_D_REC,41
S_D_REC,P_D_REC,41
P_A_FIN,P_M_PER,39
P_D_REC,P_A_PAS,39
S_D_PAS,P_M_REC,39
S_M_REC,P_D_REC,39
P_M_PAS,S_M_PAS,37
S_A_FIN,P_D_PAS,35
S_M_PAS,P_D_PAS,34
P_A_PAS,P_M_REC,33
S_D_PAS,P_D_PER,33
S_M_REC,P_A_REC,33
S_A_PER,S_A_REC,32
S_D_PAS,P_A_REC,31
S_D_REC,P_D_PAS,31
S_D_REC,P_M_PER,31
S_M_PER,S_M_PAS,30
P_M_REC,P_D_REC,29
S_A_PER,P_A_PER,29
P_D_PAS,P_A_REC,28
P_M_PER,P_A_FIN,28
S_D_PAS,P_A_PAS,28
S_M_PAS,P_D_REC,27
P_M_REC,S_M_PAS,26
S_D_PER,S_M_REC,25
P_A_FIN,S_M_REC,23
S_D_PAS,P_A_PER,23
S_A_PER,S_A_PER,21
S_A_PER,S_M_PER,21
P_D_PAS,S_M_REC,20
P_D_PER,P_A_FIN,20
P_D_REC,P_A_PER,20
P_M_PER,S_A_PAS,20
P_D_REC,S_A_PER,19
P_M_REC,S_D_PER,19
P_M_REC,S_D_REC,19
S_A_REC,P_D_PER,19
S_M_REC,P_A_PAS,19
P_D_PAS,S_A_REC,18
P_M_REC,P_A_REC,18
S_A_PER,P_A_PAS,18
S_M_PAS,P_A_PER,18
P_D_PAS,S_A_PER,17
P_D_PAS,S_M_PER,17
P_D_REC,P_M_REC,17
S_A_PAS,S_M_PER,17
S_A_PER,P_M_PER,17
S_D_PAS,P_D_PAS,17
S_D_PER,S_D_PAS,17
S_M_REC,S_A_FIN,17
S_M_REC,S_M_REC,17
S_A_FIN,P_M_PAS,16
S_D_REC,S_A_PER,16
S_M_PER,S_D_PER,16
S_M_REC,P_A_PER,16
S_A_FIN,P_D_PER,15
S_M_PER,P_A_FIN,15
S_M_PER,S_A_REC,15
S_A_REC,S_M_PER,14
P_A_PAS,S_M_PER,12
P_M_FIN,P_D_PAS,12
S_D_REC,P_A_FIN,12
S_M_PAS,P_D_PER,12
P_D_PAS,S_M_PAS,11
P_M_FIN,P_D_PER,11
S_A_FIN,P_D_REC,11
S_A_PAS,P_D_PAS,11
S_M_REC,P_D_PER,11
P_A_PER,S_A_PER,10
P_D_PER,S_A_FIN,10
P_M_PAS,P_M_FIN,10
S_A_REC,P_M_PAS,10
S_D_PER,S_M_PAS,10
P_A_REC,S_M_REC,9
P_D_REC,S_A_REC,9
P_M_PER,S_A_FIN,9
S_A_PER,P_A_REC,9
S_A_REC,P_A_PER,9
P_A_REC,S_M_PER,8
P_D_PAS,S_D_REC,8
P_D_REC,P_A_REC,8
S_A_REC,P_M_REC,8
S_M_PER,S_A_PER,8
P_A_FIN,S_M_PAS,7
P_D_PAS,P_M_FIN,7
P_D_PAS,S_A_PAS,7
S_D_PAS,P_D_REC,7
P_A_PAS,S_M_REC,6
P_M_REC,S_D_PAS,6
S_A_FIN,P_A_PER,6
S_A_PAS,P_D_REC,6
S_D_REC,S_A_PAS,6
P_A_PER,S_A_REC,5
P_D_REC,S_M_PER,5
P_M_PAS,S_A_REC,5
P_M_REC,P_M_FIN,5
S_A_PER,S_M_REC,5
S_A_REC,S_A_REC,5
S_M_PER,S_D_REC,5
S_M_REC,S_A_REC,5
P_A_FIN,S_M_PER,4
P_D_PAS,S_D_PAS,4
P_D_PAS,S_D_PER,4
P_M_PAS,S_A_PER,4
S_A_PER,S_A_PAS,4
S_A_PER,S_M_PAS,4
S_A_REC,P_A_REC,4
S_D_PAS,S_D_PAS,4
S_M_PAS,S_M_PAS,4
S_M_REC,S_M_FIN,4
P_A_PAS,S_M_PAS,3
P_A_PER,S_A_PAS,3
P_D_REC,P_A_FIN,3
P_D_REC,S_A_PAS,3
P_D_REC,S_D_PER,3
S_A_PAS,P_D_PER,3
S_A_REC,P_M_PER,3
S_D_PAS,S_D_REC,3
S_D_PER,S_A_PER,3
S_D_REC,S_A_FIN,3
S_M_REC,S_D_REC,3
P_A_REC,S_M_PAS,2
P_D_REC,S_M_PAS,2
P_M_FIN,P_A_PER,2
P_M_REC,S_A_REC,2
S_A_REC,P_A_PAS,2
S_A_REC,S_M_PAS,2
S_D_PAS,S_M_PAS,2
S_D_PER,S_A_REC,2
S_D_REC,S_M_REC,2
S_M_FIN,P_D_PER,2
S_M_FIN,P_D_REC,2
S_M_PAS,P_A_PAS,2
S_M_PAS,S_A_PAS,2
P_A_PAS,P_M_FIN,1
P_A_PAS,S_A_PER,1
P_A_PER,S_A_FIN,1
P_D_PAS,S_A_FIN,1
P_D_REC,P_M_FIN,1
P_D_REC,S_D_PAS,1
P_D_REC,S_D_REC,1
P_D_REC,S_M_REC,1
P_M_FIN,P_M_PAS,1
P_M_PER,P_M_FIN,1
P_M_PER,S_D_FIN,1
P_M_PER,S_M_FIN,1
P_M_REC,S_A_PAS,1
P_M_REC,S_A_PER,1
S_A_FIN,S_M_PER,1
S_A_PAS,P_A_FIN,1
S_A_PAS,P_A_PER,1
S_A_PAS,P_M_PAS,1
S_A_PAS,S_A_FIN,1
S_A_PAS,S_A_PAS,1
S_A_PER,P_A_FIN,1
S_A_REC,S_M_FIN,1
S_D_FIN,P_D_REC,1
S_D_PAS,P_A_FIN,1
S_D_PAS,S_A_REC,1
S_D_PAS,S_M_REC,1
S_D_PER,S_A_PAS,1
S_M_FIN,P_A_PAS,1
S_M_FIN,P_D_PAS,1
S_M_PAS,P_A_REC,1
S_M_PAS,S_A_REC,1
S_M_PAS,S_D_PAS,1
S_M_PAS,S_M_REC,1
S_M_PER,P_M_FIN,1
S_M_PER,S_D_PAS,1
