from_state,to_state,probability
S_D_FIN,P_D_REC,1.000000
S_A_PAS,S_A_PER,0.835938
P_D_REC,P_D_PAS,0.685788
P_M_REC,P_M_PAS,0.675656
S_M_PAS,S_M_PER,0.644001
P_M_PAS,P_M_PAS,0.600801
S_D_PAS,S_D_PER,0.561280
P_A_PAS,P_A_PAS,0.473688
S_D_REC,S_D_PER,0.462633
P_M_FIN,P_D_PAS,0.461538
P_M_FIN,P_D_PER,0.423077
S_A_FIN,P_D_PAS,0.416667
P_D_PAS,P_D_PAS,0.408486
P_A_REC,P_A_PAS,0.391766
S_A_PER,P_D_PAS,0.372943
S_A_REC,S_A_PER,0.350333
S_A_PER,P_D_REC,0.337599
S_M_PER,P_M_PAS,0.335640
S_D_PAS,S_M_PER,0.334795
S_M_FIN,P_D_PER,0.333333
S_M_FIN,P_D_REC,0.333333
P_D_PAS,P_M_PAS,0.320969
S_M_REC,S_M_PER,0.313706
S_D_PER,P_M_PAS,0.286129
P_A_PAS,P_A_PER,0.265779
S_D_REC,S_D_PAS,0.250041
S_M_PER,P_M_REC,0.249904
P_A_REC,P_A_PER,0.249447
P_D_PER,P_M_PAS,0.248347
P_M_PER,P_M_PAS,0.241062
P_A_FIN,P_D_PAS,0.240425
P_A_FIN,P_D_PER,0.220509
S_M_REC,S_M_PAS,0.218515
P_A_REC,P_A_FIN,0.213811
S_A_FIN,P_M_PAS,0.190476
S_A_FIN,P_D_PER,0.178571
P_D_REC,P_D_PER,0.174274
S_M_PAS,S_A_PER,0.173727
P_A_PER,P_D_PAS,0.173606
P_D_PER,S_M_PER,0.172515
S_M_FIN,P_A_PAS,0.166667
S_M_FIN,P_D_PAS,0.166667
S_D_PER,P_M_REC,0.160294
S_D_PER,P_A_PAS,0.157487
P_M_REC,P_M_PER,0.155726
P_A_PER,P_A_PAS,0.143505
S_A_REC,P_D_REC,0.137472
P_A_PAS,P_M_PAS,0.134594
P_M_PER,P_D_PAS,0.134544
P_M_PER,P_M_REC,0.132693
S_A_FIN,P_D_REC,0.130952
S_M_REC,P_M_PAS,0.130847
S_D_PER,P_A_REC,0.126706
S_M_REC,P_M_REC,0.125613
S_A_REC,P_D_PAS,0.124169
S_A_REC,S_A_PAS,0.124169
S_M_PER,P_D_PAS,0.122837
P_A_FIN,P_M_PAS,0.122357
P_A_PER,P_A_REC,0.121317
P_M_PAS,P_A_PAS,0.117764
P_D_PAS,P_M_PER,0.115770
S_M_PER,P_M_PER,0.112168
P_D_PAS,P_D_PER,0.111698
P_M_PAS,P_M_PER,0.109830
P_A_PER,P_D_REC,0.109199
P_A_FIN,P_A_REC,0.108978
S_A_PER,P_D_PER,0.106642
P_A_PER,S_D_REC,0.105519
P_A_FIN,P_A_PAS,0.103973
P_D_REC,P_M_PAS,0.102905
P_D_PER,P_D_PAS,0.102334
P_A_PAS,P_A_FIN,0.094224
S_A_REC,S_A_FIN,0.093126
P_D_PER,P_M_REC,0.088659
S_M_PAS,S_D_PER,0.086152
P_A_FIN,P_A_PER,0.085487
S_M_PER,P_D_REC,0.082853
P_M_FIN,P_A_PER,0.076923
S_D_PER,P_M_PER,0.072694
S_A_FIN,P_A_PER,0.071429
P_M_PAS,P_D_PAS,0.071080
P_M_PAS,P_A_PER,0.070322
P_A_PER,P_A_PER,0.069221
P_A_PER,P_D_PER,0.068806
P_M_PER,S_M_PER,0.067990
S_A_PAS,S_M_PER,0.066406
P_M_PER,P_D_REC,0.065022
S_D_PER,P_D_PAS,0.062821
P_M_REC,P_A_PAS,0.061373
S_D_REC,P_A_REC,0.060180
P_A_PER,S_D_PER,0.056495
P_M_PER,S_M_REC,0.055637
S_M_REC,P_M_PER,0.052666
P_D_PER,P_A_PAS,0.051534
P_A_PER,P_M_PAS,0.049467
S_D_REC,P_A_PAS,0.047751
P_M_PER,S_D_PER,0.047210
P_D_PER,P_D_REC,0.046449
S_D_REC,S_M_PER,0.046280
S_D_PER,P_A_PER,0.045785
S_A_PER,P_M_REC,0.045704
P_M_PER,P_A_PAS,0.044529
S_A_PAS,P_D_PAS,0.042969
S_A_REC,P_D_PER,0.042129
P_D_PER,S_M_PAS,0.041815
P_M_PER,P_M_PER,0.041688
P_A_REC,P_M_PAS,0.041058
P_D_PER,P_M_PER,0.040685
P_A_PER,S_D_PAS,0.040393
S_A_PER,P_M_PAS,0.039001
P_M_FIN,P_M_PAS,0.038462
P_D_PER,S_M_REC,0.038142
P_M_PER,S_D_REC,0.037570
S_M_REC,S_A_PER,0.037291
P_A_FIN,P_D_REC,0.037177
P_A_FIN,S_D_REC,0.035236
P_D_PER,S_D_PER,0.034130
P_A_PER,P_M_REC,0.033808
S_D_PER,P_D_REC,0.033201
S_M_PER,P_D_PER,0.032391
S_D_PAS,S_A_PER,0.031353
P_M_PER,S_M_PAS,0.031250
S_A_REC,S_M_PER,0.031042
P_M_PER,S_D_PAS,0.030452
P_M_REC,P_D_PAS,0.030449
S_D_REC,S_M_PAS,0.029926
P_M_PER,P_D_PER,0.028186
P_D_PER,P_A_REC,0.026615
P_M_REC,P_A_PER,0.025783
S_D_PER,P_D_PER,0.025167
S_M_PAS,P_M_PAS,0.024564
P_M_PER,P_A_REC,0.024068
S_A_PAS,P_D_REC,0.023438
S_D_REC,P_A_PER,0.023385
P_D_PER,P_D_PER,0.022490
S_A_REC,P_M_PAS,0.022173
S_D_REC,P_M_PAS,0.020442
P_D_PER,S_A_PER,0.020286
S_A_REC,P_A_PER,0.019956
S_M_REC,P_D_PAS,0.019954
S_D_PAS,P_M_PAS,0.019513
S_A_PER,S_A_REC,0.019500
P_D_PAS,P_A_PER,0.019245
P_A_REC,P_D_PAS,0.019035
P_D_REC,P_M_PER,0.018983
S_M_PAS,P_M_PER,0.018512
S_D_REC,P_D_PER,0.018479
S_M_REC,S_D_PAS,0.017991
S_A_REC,P_M_REC,0.017738
P_A_REC,S_D_REC,0.017707
P_D_PAS,P_A_PAS,0.017700
S_A_PER,P_A_PER,0.017672
S_M_PER,P_A_PAS,0.017109
P_M_REC,P_M_REC,0.017083
S_M_PAS,P_M_REC,0.016376
S_M_REC,S_A_PAS,0.016029
P_D_PER,S_D_PAS,0.015539
P_D_PER,S_A_REC,0.015483
P_A_REC,P_A_REC,0.015383
P_A_PAS,P_M_PER,0.015195
P_A_FIN,P_M_REC,0.014810
P_A_REC,P_D_REC,0.014387
P_M_PAS,P_D_PER,0.014154
P_D_PER,S_D_REC,0.013844
S_M_REC,S_D_PER,0.013739
P_D_PER,P_A_PER,0.013618
S_A_PER,S_A_PER,0.012797
S_A_PER,S_M_PER,0.012797
S_M_REC,P_D_REC,0.012758
S_M_PER,S_M_PER,0.012495
S_M_PAS,P_D_PAS,0.012104
S_A_FIN,S_M_PER,0.011905
S_M_PER,P_A_REC,0.011726
S_A_PAS,P_D_PER,0.011719
P_M_PER,P_A_PER,0.011651
P_A_FIN,S_D_PER,0.011541
S_D_PAS,P_M_PER,0.011401
S_A_REC,S_A_REC,0.011086
S_A_PER,P_A_PAS,0.010969
S_M_REC,P_A_REC,0.010795
S_A_PER,P_M_PER,0.010360
S_D_REC,P_M_REC,0.010303
P_A_PER,P_M_PER,0.010209
P_A_REC,S_D_PER,0.009628
S_M_PAS,P_D_REC,0.009612
P_M_PAS,P_A_FIN,0.009159
S_A_REC,P_A_REC,0.008869
S_D_PAS,P_M_REC,0.008551
P_A_REC,P_D_PER,0.008411
P_A_PER,S_M_REC,0.007996
P_A_FIN,S_D_PAS,0.007864
S_M_PER,P_A_PER,0.007497
S_D_REC,S_D_REC,0.007359
S_D_PER,S_D_PER,0.007356
S_D_PAS,P_D_PER,0.007235
P_M_REC,P_A_FIN,0.006802
