from_state,to_state,count
P_M_PAS_DES,P_M_PAS_DES,56655
P_M_PAS_FAV,P_M_PAS_FAV,24901
P_A_PAS_DES,P_A_PAS_DES,18573
P_D_PAS_DES,P_D_PAS_DES,15978
P_D_PAS_DES,P_M_PAS_DES,12338
P_A_PAS_DES,P_A_PER_DES,11338
P_M_PAS_DES,P_A_PAS_DES,11327
P_M_PAS_DES,P_M_PER_DES,11072
P_A_PAS_FAV,P_A_PAS_FAV,9395
P_M_PAS_NEU,P_M_PAS_NEU,7444
P_M_PAS_DES,P_D_PAS_DES,7293
P_M_PAS_DES,P_A_PER_DES,7125
P_D_PAS_FAV,P_D_PAS_FAV,6293
P_A_PAS_DES,P_M_PAS_DES,5623
P_M_REC_DES,P_M_PAS_DES,5546
P_M_PAS_FAV,P_A_PAS_FAV,4911
P_D_PAS_FAV,P_M_PAS_FAV,4788
P_D_PAS_DES,P_M_PER_DES,4751
P_D_PAS_DES,P_D_PER_DES,4668
P_M_PER_DES,P_M_PAS_DES,4652
P_A_PAS_FAV,P_A_PER_FAV,4373
P_D_REC_DES,P_D_PAS_DES,4348
P_A_PER_DES,P_M_PAS_DES,4305
P_M_PAS_FAV,P_M_PER_FAV,3933
P_A_PAS_DES,P_A_FIN_DES,3766
P_A_PER_DES,P_A_REC_DES,3735
P_M_PER_DES,P_M_REC_DES,2966
P_M_PER_DES,P_D_PAS_DES,2908
P_A_PER_DES,P_D_PAS_DES,2801
P_A_PER_DES,P_A_PAS_DES,2745
P_M_PAS_FAV,P_D_PAS_FAV,2666
P_D_PER_DES,P_M_PAS_DES,2641
P_A_PAS_FAV,P_M_PAS_FAV,2496
P_M_PAS_FAV,P_A_PER_FAV,2426
P_A_REC_DES,P_A_PAS_DES,2319
P_A_PAS_NEU,P_A_PAS_NEU,2138
P_A_PER_DES,P_M_REC_DES,2062
P_D_PAS_NEU,P_D_PAS_NEU,2051
P_M_REC_FAV,P_M_PAS_FAV,1977
P_D_PER_DES,P_D_PAS_DES,1864
P_D_PER_DES,P_M_REC_DES,1749
P_M_PAS_DES,P_D_PER_DES,1689
P_A_PAS_FAV,P_A_FIN_FAV,1662
P_D_REC_FAV,P_D_PAS_FAV,1641
P_M_PER_DES,P_D_REC_DES,1557
P_D_PAS_FAV,P_M_PER_FAV,1536
P_A_REC_DES,P_A_PER_DES,1522
P_D_PAS_FAV,P_D_PER_FAV,1509
P_M_PER_DES,P_A_PAS_DES,1499
P_A_PER_FAV,P_A_REC_FAV,1489
P_D_PAS_NEU,P_M_PAS_NEU,1476
P_A_PER_DES,P_A_PER_DES,1384
P_M_REC_DES,P_M_PER_DES,1357
P_A_PER_DES,P_D_REC_DES,1301
P_A_REC_DES,P_A_FIN_DES,1287
P_M_PAS_NEU,P_M_PER_NEU,1268
P_D_PER_DES,P_D_REC_DES,1259
P_M_PAS_NEU,P_A_PAS_NEU,1258
P_M_PER_DES,P_M_PER_DES,1159
P_D_REC_DES,P_D_PER_DES,1158
P_A_PAS_NEU,P_A_PER_NEU,1140
P_M_PER_FAV,P_M_PAS_FAV,1111
P_M_PER_DES,P_D_PER_DES,1103
P_A_PER_DES,P_D_PER_DES,1079
P_A_FIN_DES,P_M_PAS_DES,1066
P_A_PER_FAV,P_M_PAS_FAV,1043
P_M_PAS_NEU,P_D_PAS_NEU,1000
P_A_REC_FAV,P_A_PAS_FAV,967
P_D_PER_DES,P_M_PER_DES,938
P_M_PER_FAV,P_M_REC_FAV,900
P_A_FIN_DES,P_D_PAS_DES,896
P_M_PER_DES,P_M_PAS_FAV,860
P_A_PER_DES,P_M_PAS_FAV,841
P_M_PAS_DES,P_A_FIN_DES,841
P_M_PER_DES,P_A_REC_DES,838
P_A_PER_FAV,P_M_PAS_DES,836
P_A_PER_FAV,P_D_PAS_DES,835
P_D_PAS_DES,P_A_PER_DES,835
P_D_PAS_DES,P_A_PAS_DES,809
P_A_PER_FAV,P_A_PAS_FAV,793
P_A_PER_DES,P_M_PER_DES,792
P_A_FIN_DES,P_A_REC_DES,769
P_A_PER_DES,P_D_PAS_FAV,766
P_M_PER_FAV,P_M_PAS_DES,758
P_M_PER_DES,P_D_PAS_FAV,747
P_M_PER_DES,P_A_PER_DES,742
P_D_PER_DES,P_D_PER_DES,732
P_M_PAS_NEU,P_A_PER_NEU,730
P_A_PAS_DES,P_M_PER_DES,713
P_D_PER_DES,P_A_PAS_DES,706
P_M_PER_FAV,P_D_PAS_DES,703
P_D_REC_DES,P_M_PAS_DES,671
P_A_PAS_NEU,P_M_PAS_NEU,665
P_A_FIN_DES,P_A_PAS_DES,630
P_M_REC_NEU,P_M_PAS_NEU,621
P_A_PER_FAV,P_M_REC_FAV,611
P_D_PER_FAV,P_M_PAS_FAV,570
P_M_REC_DES,P_A_PAS_DES,557
P_M_PER_FAV,P_D_PAS_FAV,546
P_A_REC_FAV,P_A_PER_FAV,544
P_D_PAS_NEU,P_D_PER_NEU,520
P_D_PAS_NEU,P_M_PER_NEU,515
P_D_PER_FAV,P_M_REC_FAV,472
P_D_REC_NEU,P_D_PAS_NEU,472
P_A_REC_FAV,P_A_FIN_FAV,471
P_A_PER_DES,P_A_PAS_FAV,470
P_M_PAS_FAV,P_D_PER_FAV,468
P_A_PER_FAV,P_A_PAS_DES,460
P_M_REC_FAV,P_M_PER_FAV,422
P_A_PER_FAV,P_D_PAS_FAV,407
P_M_PER_DES,P_A_PAS_FAV,400
P_A_FIN_DES,P_D_PER_DES,399
P_A_FIN_DES,P_D_REC_DES,399
P_D_PER_FAV,P_M_PAS_DES,399
P_D_PER_DES,P_D_PAS_FAV,395
P_A_PAS_NEU,P_A_FIN_NEU,391
P_M_PER_FAV,P_A_PAS_DES,383
P_M_REC_DES,P_D_PAS_DES,382
P_A_PER_DES,P_D_REC_FAV,374
P_D_PER_DES,P_M_PAS_FAV,367
P_D_PER_FAV,P_D_PAS_DES,367
P_A_PER_FAV,P_D_PER_DES,364
P_M_PER_FAV,P_D_REC_FAV,361
P_D_PER_FAV,P_D_PAS_FAV,360
P_D_PER_DES,P_A_PER_DES,358
P_D_REC_FAV,P_D_PER_FAV,356
P_A_REC_DES,P_M_PAS_DES,352
P_M_PER_NEU,P_M_PAS_NEU,346
P_A_PER_NEU,P_A_REC_NEU,342
P_A_FIN_DES,P_M_REC_DES,336
P_M_PER_DES,P_D_REC_FAV,327
P_A_FIN_FAV,P_A_REC_FAV,324
P_M_PER_FAV,P_D_PER_DES,321
P_A_FIN_DES,P_A_PER_DES,318
P_A_FIN_FAV,P_M_PAS_DES,318
P_M_PER_FAV,P_M_PER_FAV,316
