from_state,to_state,probability
S_D_FIN_FAV,P_D_REC_FAV,1.000000
S_A_PAS_FAV,S_A_PER_FAV,0.858696
S_A_PAS_DES,S_A_PER_DES,0.786885
S_A_PAS_NEU,S_A_PER_NEU,0.727273
P_D_REC_FAV,P_D_PAS_FAV,0.692826
P_D_REC_DES,P_D_PAS_DES,0.675494
P_M_REC_FAV,P_M_PAS_FAV,0.672813
P_M_REC_DES,P_M_PAS_DES,0.671091
P_M_REC_NEU,P_M_PAS_NEU,0.667479
S_M_PAS_NEU,S_M_PER_NEU,0.655914
S_M_PAS_DES,S_M_PER_DES,0.649755
S_M_PAS_FAV,S_M_PER_FAV,0.641153
P_D_REC_NEU,P_D_PAS_NEU,0.639123
P_M_PAS_FAV,P_M_PAS_FAV,0.603738
P_M_PAS_DES,P_M_PAS_DES,0.591459
P_M_FIN_FAV,P_D_PAS_FAV,0.588235
P_M_PAS_NEU,P_M_PAS_NEU,0.585821
S_D_PAS_FAV,S_D_PER_FAV,0.565243
S_D_PAS_NEU,S_D_PER_NEU,0.561753
S_D_PAS_DES,S_D_PER_DES,0.547347
P_M_FIN_DES,P_D_PAS_DES,0.500000
P_M_FIN_DES,P_D_PER_FAV,0.500000
S_A_FIN_NEU,P_D_PAS_DES,0.500000
S_A_FIN_NEU,P_D_PAS_FAV,0.500000
P_A_PAS_FAV,P_A_PAS_FAV,0.479544
S_D_REC_FAV,S_D_PER_FAV,0.463904
S_D_REC_DES,S_D_PER_DES,0.460047
P_A_PAS_NEU,P_A_PAS_NEU,0.458559
P_A_PAS_DES,P_A_PAS_DES,0.456081
S_D_REC_NEU,S_D_PER_NEU,0.455621
P_M_FIN_NEU,P_D_PER_FAV,0.428571
P_D_PAS_NEU,P_D_PAS_NEU,0.418869
P_D_PAS_FAV,P_D_PAS_FAV,0.409977
P_A_REC_NEU,P_A_PAS_NEU,0.404297
P_D_PAS_DES,P_D_PAS_DES,0.399030
P_A_REC_FAV,P_A_PAS_FAV,0.392526
P_A_REC_DES,P_A_PAS_DES,0.385496
S_A_REC_FAV,S_A_PER_FAV,0.369427
S_A_FIN_FAV,P_D_PAS_FAV,0.350000
S_D_PAS_DES,S_M_PER_DES,0.345473
S_D_PAS_NEU,S_M_PER_NEU,0.334661
S_M_FIN_FAV,P_D_REC_FAV,0.333333
S_D_PAS_FAV,S_M_PER_FAV,0.331741
S_M_REC_DES,S_M_PER_DES,0.325893
S_A_REC_DES,S_A_PER_DES,0.323810
P_D_PAS_FAV,P_M_PAS_FAV,0.322180
P_D_PAS_DES,P_M_PAS_DES,0.318399
S_A_FIN_DES,P_D_PAS_FAV,0.318182
S_M_REC_NEU,S_M_PER_NEU,0.311005
S_M_REC_FAV,S_M_PER_FAV,0.310202
S_A_PER_FAV,P_D_PAS_FAV,0.305785
P_D_PAS_NEU,P_M_PAS_NEU,0.304175
P_A_PAS_DES,P_A_PER_DES,0.278913
S_A_PER_FAV,P_D_REC_FAV,0.275207
S_M_PER_FAV,P_M_PAS_FAV,0.273415
P_A_PAS_NEU,P_A_PER_NEU,0.272210
P_A_PAS_FAV,P_A_PER_FAV,0.261786
P_A_REC_DES,P_A_PER_DES,0.255725
S_D_REC_FAV,S_D_PAS_FAV,0.255348
S_A_REC_NEU,S_A_PER_NEU,0.250000
P_A_REC_FAV,P_A_PER_FAV,0.248879
S_D_REC_DES,S_D_PAS_DES,0.238169
P_A_REC_NEU,P_A_PER_NEU,0.234375
S_D_PER_FAV,P_M_PAS_FAV,0.231590
S_A_PER_DES,P_D_PAS_FAV,0.229651
S_M_REC_DES,S_M_PAS_DES,0.226190
S_D_REC_NEU,S_D_PAS_NEU,0.224852
S_M_REC_NEU,S_M_PAS_NEU,0.220096
S_M_REC_FAV,S_M_PAS_FAV,0.215993
P_M_PER_FAV,P_M_PAS_FAV,0.215206
P_A_REC_FAV,P_A_FIN_FAV,0.214350
P_D_PER_FAV,P_M_PAS_FAV,0.213804
P_A_REC_DES,P_A_FIN_DES,0.211559
P_D_REC_NEU,P_D_PER_NEU,0.207420
S_A_PER_DES,P_D_REC_FAV,0.203488
S_A_FIN_FAV,P_M_PAS_FAV,0.200000
S_A_PER_NEU,P_D_PAS_FAV,0.195402
S_M_PER_FAV,P_M_REC_FAV,0.194756
S_M_PAS_NEU,S_A_PER_NEU,0.193548
P_A_FIN_FAV,P_D_PAS_FAV,0.192203
S_A_REC_NEU,S_A_PAS_NEU,0.187500
S_A_REC_DES,S_A_PAS_DES,0.180952
P_A_REC_NEU,P_A_FIN_NEU,0.179688
P_D_REC_DES,P_D_PER_DES,0.178623
P_M_FIN_FAV,P_D_PER_FAV,0.176471
S_M_PAS_FAV,S_A_PER_FAV,0.176441
S_A_PER_NEU,P_D_REC_FAV,0.172414
P_D_REC_FAV,P_D_PER_FAV,0.170158
S_M_PER_DES,P_M_PAS_FAV,0.169861
P_A_FIN_FAV,P_D_PER_FAV,0.169575
S_M_FIN_FAV,P_A_PAS_FAV,0.166667
S_M_FIN_FAV,P_D_PAS_FAV,0.166667
S_M_FIN_FAV,P_D_PER_DES,0.166667
S_M_FIN_FAV,P_D_PER_FAV,0.166667
S_M_PER_NEU,P_M_PAS_FAV,0.159379
S_M_PAS_DES,S_A_PER_DES,0.158756
P_M_REC_FAV,P_M_PER_FAV,0.157063
S_D_PER_DES,P_M_PAS_FAV,0.153145
P_M_REC_DES,P_M_PER_DES,0.151549
P_M_REC_NEU,P_M_PER_NEU,0.147381
P_A_FIN_NEU,P_D_PER_FAV,0.147314
P_A_PER_FAV,P_A_PAS_FAV,0.144633
P_M_FIN_NEU,P_D_PAS_NEU,0.142857
P_M_FIN_NEU,P_D_PER_DES,0.142857
P_M_FIN_NEU,P_D_PER_NEU,0.142857
P_M_FIN_NEU,P_M_PAS_FAV,0.142857
P_A_PER_DES,P_A_PAS_DES,0.142353
S_M_PER_DES,P_M_PAS_DES,0.140244
P_M_PER_DES,P_M_PAS_DES,0.138918
P_A_PAS_DES,P_M_PAS_DES,0.138356
P_A_PER_FAV,P_D_PAS_FAV,0.138019
S_A_PER_NEU,P_D_REC_NEU,0.137931
S_A_FIN_DES,P_D_PAS_DES,0.136364
S_A_FIN_DES,P_D_PER_DES,0.136364
S_A_FIN_DES,P_D_REC_FAV,0.136364
P_A_PAS_FAV,P_M_PAS_FAV,0.133298
P_A_FIN_DES,P_D_PAS_FAV,0.133120
P_A_PER_NEU,P_A_PAS_NEU,0.133059
P_A_PAS_NEU,P_M_PAS_NEU,0.130823
S_M_PER_DES,P_M_REC_FAV,0.129791
P_D_PER_DES,P_M_PAS_DES,0.129649
P_D_PER_FAV,S_M_PER_FAV,0.129505
S_D_PER_FAV,P_A_PAS_FAV,0.129002
S_M_PER_NEU,P_M_REC_FAV,0.128350
S_D_PER_NEU,P_M_PAS_FAV,0.127925
P_D_PAS_DES,P_M_PER_DES,0.122928
P_A_PER_FAV,P_A_REC_FAV,0.122890
