from_state,to_state,count
S_M_PAS,S_M_PAS,11645
P_M_PAS,P_M_PAS,7102
S_A_PAS,S_A_PAS,4789
S_D_PAS,S_D_PAS,4154
P_A_PAS,P_A_PAS,3434
P_D_PAS,P_D_PAS,2294
S_D_PAS,S_M_PAS,1646
S_M_PAS,S_A_PAS,1604
S_A_PAS,S_A_PER,1571
S_M_PAS,S_M_PER,1423
P_M_PAS,P_M_PER,1287
P_A_PAS,P_A_PER,1224
P_M_PAS,P_A_PAS,1164
P_D_PAS,P_M_PAS,1020
P_M_REC,P_M_PAS,919
S_D_REC,S_D_PAS,913
P_D_REC,P_D_PAS,866
S_M_REC,S_M_PAS,848
S_D_PAS,S_D_PER,847
P_D_PAS,P_D_PER,846
S_M_PAS,S_D_PAS,835
S_A_PAS,S_M_PAS,610
S_A_PER,P_D_REC,597
P_A_PER,S_D_REC,557
P_M_PAS,P_D_PAS,542
S_M_PER,P_M_REC,502
P_M_PER,S_M_REC,477
P_A_PER,S_D_PAS,461
S_M_PER,P_M_PAS,458
P_A_REC,P_A_PAS,438
S_A_REC,S_A_PAS,429
S_A_PAS,S_A_FIN,428
P_A_PAS,P_A_FIN,420
P_M_PER,S_M_PAS,402
P_A_PAS,P_M_PAS,376
S_A_PER,P_D_PAS,374
S_D_PAS,S_M_PER,339
S_D_PER,P_M_PAS,329
P_M_PER,S_D_PAS,315
P_M_PAS,P_A_PER,310
S_A_PER,S_A_PAS,310
S_M_PER,P_D_REC,295
P_D_PER,S_M_PAS,291
P_M_PER,S_D_REC,289
S_M_PAS,S_A_PER,265
P_D_PAS,P_M_PER,252
S_M_PER,P_D_PAS,250
S_D_PER,P_M_REC,247
S_A_PER,S_A_REC,235
S_A_PER,P_D_PER,234
P_D_PER,S_M_REC,220
P_A_PER,P_A_PAS,203
P_A_PER,S_D_PER,202
P_D_PER,S_M_PER,202
S_M_PER,P_M_PER,197
S_D_PER,P_M_PER,195
P_A_PER,P_A_REC,185
S_A_FIN,P_D_PER,164
P_D_PER,S_D_PAS,162
S_D_PER,P_A_REC,158
S_M_PER,S_M_PAS,158
S_A_PER,S_A_PER,155
P_M_PER,S_M_PER,147
P_M_PER,S_D_PER,139
P_A_FIN,S_D_PAS,134
S_M_PER,P_D_PER,134
P_A_PER,P_A_PER,123
P_A_FIN,S_D_PER,117
S_D_PER,P_A_PAS,116
P_M_PER,P_M_PAS,113
P_D_PER,S_A_PAS,109
P_D_PER,S_A_REC,101
P_D_PER,S_D_PER,97
P_D_PER,S_D_REC,85
P_D_REC,S_A_PAS,83
S_A_FIN,P_D_PAS,80
S_M_PER,S_M_REC,76
P_D_PAS,P_A_PAS,73
P_M_PER,P_M_REC,73
S_A_PER,S_M_PAS,72
S_D_PER,P_A_PER,72
S_A_FIN,S_A_REC,70
S_M_PER,S_A_PAS,68
P_A_FIN,S_M_PAS,67
S_D_PER,P_D_PAS,67
P_D_PER,P_M_PAS,66
S_D_PER,S_D_PAS,62
S_D_PER,S_M_PAS,60
P_M_PAS,P_D_PER,59
S_D_PAS,S_A_PAS,59
P_A_FIN,P_A_REC,58
P_M_REC,S_M_PAS,56
P_A_REC,P_A_FIN,54
S_D_PER,P_D_REC,54
S_M_PAS,S_D_PER,54
S_A_FIN,S_A_PAS,53
P_A_PAS,S_D_PAS,52
S_A_PER,S_M_REC,52
S_A_REC,S_A_FIN,52
S_M_REC,P_M_PAS,52
P_A_FIN,P_A_PAS,51
P_A_PER,P_M_PAS,51
S_A_FIN,S_A_PER,51
P_A_PAS,S_D_REC,50
P_D_PER,P_M_PER,50
P_D_PAS,P_A_PER,49
P_M_PER,P_A_PAS,48
P_M_PER,P_M_PER,48
S_A_PER,P_M_REC,47
S_M_PER,S_M_PER,47
S_A_PAS,P_D_PAS,46
P_M_PAS,S_M_PAS,44
P_D_PER,P_M_REC,43
S_D_PER,P_D_PER,42
S_D_REC,P_A_PAS,42
S_M_REC,P_M_REC,42
P_A_FIN,P_A_PER,40
P_M_PAS,P_A_FIN,40
S_A_FIN,P_D_REC,40
S_M_PAS,P_M_PAS,40
P_D_REC,P_D_PER,39
P_D_PER,S_A_PER,38
S_A_FIN,P_M_PAS,38
S_D_REC,P_A_REC,37
P_M_REC,S_M_REC,36
P_D_REC,S_A_REC,35
S_D_REC,S_D_PER,35
P_A_PER,S_M_REC,34
S_M_PAS,P_M_REC,34
P_A_PAS,P_M_PER,33
P_M_PER,P_A_REC,33
P_M_PAS,S_M_REC,32
S_A_PAS,P_D_REC,32
P_A_PER,P_M_REC,31
S_A_PAS,S_M_PER,31
S_D_PAS,S_A_PER,30
S_D_PER,S_M_REC,30
S_D_REC,S_D_REC,30
S_M_PER,S_A_REC,30
S_A_PER,P_M_PAS,29
P_D_PER,P_D_PER,28
P_D_REC,P_D_REC,28
P_D_PER,P_D_PAS,26
P_M_PER,P_A_PER,26
S_A_PER,S_M_PER,26
