from_state,to_state,probability
S_M_FIN,P_D_PER,1.000000
P_M_REC,P_M_PAS,0.840037
S_M_REC,S_M_PAS,0.827317
S_D_REC,S_D_PAS,0.815179
S_A_REC,S_A_PAS,0.800373
P_A_REC,P_A_PAS,0.787770
P_D_REC,P_D_PAS,0.784420
S_M_PAS,S_M_PAS,0.728587
P_M_PAS,P_M_PAS,0.666792
S_A_PAS,S_A_PAS,0.634725
P_A_PAS,P_A_PAS,0.610489
S_D_PAS,S_D_PAS,0.582037
P_D_PAS,P_D_PAS,0.499891
S_A_FIN,P_D_PER,0.319066
P_A_PER,S_D_REC,0.293312
S_A_PER,P_D_REC,0.276902
P_A_FIN,S_D_PAS,0.255725
P_A_PER,S_D_PAS,0.242759
S_D_PAS,S_M_PAS,0.230629
P_A_FIN,S_D_PER,0.223282
P_D_PAS,P_M_PAS,0.222271
P_M_PER,S_M_REC,0.221140
S_M_PER,P_M_REC,0.218736
P_A_PAS,P_A_PER,0.217600
S_D_PER,P_M_PAS,0.214472
S_A_PAS,S_A_PER,0.208217
S_M_PER,P_M_PAS,0.199564
P_M_PER,S_M_PAS,0.186370
P_D_PER,S_M_PAS,0.184762
P_D_PAS,P_D_PER,0.184354
S_A_PER,P_D_PAS,0.173469
S_D_PER,P_M_REC,0.161017
S_A_FIN,P_D_PAS,0.155642
P_M_PER,S_D_PAS,0.146036
S_A_PER,S_A_PAS,0.143785
P_D_PER,S_M_REC,0.139683
S_A_FIN,S_A_REC,0.136187
P_M_PER,S_D_REC,0.133982
S_M_PER,P_D_REC,0.128540
P_D_PER,S_M_PER,0.128254
P_A_FIN,S_M_PAS,0.127863
S_D_PER,P_M_PER,0.127119
P_M_PAS,P_M_PER,0.120834
S_D_PAS,S_D_PER,0.118677
P_A_FIN,P_A_REC,0.110687
P_M_PAS,P_A_PAS,0.109286
S_A_PER,S_A_REC,0.108998
S_M_PER,P_D_PAS,0.108932
S_A_PER,P_D_PER,0.108534
P_A_PER,P_A_PAS,0.106898
P_A_PER,S_D_PER,0.106372
S_A_FIN,S_A_PAS,0.103113
S_D_PER,P_A_REC,0.102999
P_D_PER,S_D_PAS,0.102857
S_M_PAS,S_A_PAS,0.100357
S_A_FIN,S_A_PER,0.099222
P_A_PER,P_A_REC,0.097420
P_A_FIN,P_A_PAS,0.097328
P_A_REC,P_A_FIN,0.097122
S_A_REC,S_A_FIN,0.097015
S_M_PAS,S_M_PER,0.089032
S_M_PER,P_M_PER,0.085839
S_A_PAS,S_M_PAS,0.080848
S_A_FIN,P_D_REC,0.077821
P_A_FIN,P_A_PER,0.076336
S_D_PER,P_A_PAS,0.075619
P_D_REC,S_A_PAS,0.075181
P_A_PAS,P_A_FIN,0.074667
S_A_FIN,P_M_PAS,0.073930
S_A_PER,S_A_PER,0.071892
P_D_PER,S_A_PAS,0.069206
S_M_PER,S_M_PAS,0.068845
P_M_PER,S_M_PER,0.068150
P_A_PAS,P_M_PAS,0.066844
P_A_PER,P_A_PER,0.064771
P_M_PER,S_D_PER,0.064441
P_D_PER,S_A_REC,0.064127
P_D_PER,S_D_PER,0.061587
S_M_PER,P_D_PER,0.058388
S_A_PAS,S_A_FIN,0.056726
P_D_PAS,P_M_PER,0.054914
P_D_PER,S_D_REC,0.053968
P_M_PER,P_M_PAS,0.052388
S_M_PAS,S_D_PAS,0.052243
P_M_REC,S_M_PAS,0.051188
P_M_PAS,P_D_PAS,0.050887
S_M_REC,P_M_PAS,0.050732
P_A_FIN,S_D_REC,0.047710
S_D_PAS,S_M_PER,0.047499
S_D_PER,P_A_PER,0.046936
S_D_PER,P_D_PAS,0.043677
P_D_PER,P_M_PAS,0.041905
S_M_REC,P_M_REC,0.040976
S_D_PER,S_D_PAS,0.040417
S_D_PER,S_M_PAS,0.039113
S_D_REC,P_A_PAS,0.037500
P_D_REC,P_D_PER,0.035326
S_D_PER,P_D_REC,0.035202
P_M_PER,P_M_REC,0.033843
S_A_PER,S_M_PAS,0.033395
S_M_PER,S_M_REC,0.033115
S_D_REC,P_A_REC,0.033036
P_M_REC,S_M_REC,0.032907
P_D_PER,P_M_PER,0.031746
P_D_REC,S_A_REC,0.031703
S_D_REC,S_D_PER,0.031250
S_M_PER,S_A_PAS,0.029630
P_M_PAS,P_A_PER,0.029105
P_A_REC,S_D_REC,0.028777
S_D_PER,P_D_PER,0.027379
P_D_PER,P_M_REC,0.027302
P_A_PER,P_M_PAS,0.026856
S_D_REC,S_D_REC,0.026786
S_A_REC,P_D_PAS,0.026119
P_D_REC,P_D_REC,0.025362
P_D_PER,S_A_PER,0.024127
S_A_PER,S_M_REC,0.024119
S_M_REC,P_M_PER,0.022439
S_A_REC,P_D_PER,0.022388
S_A_REC,P_D_REC,0.022388
P_M_PER,P_A_PAS,0.022253
P_M_PER,P_M_PER,0.022253
S_A_PER,P_M_REC,0.021800
S_D_REC,P_A_PER,0.020536
S_M_PER,S_M_PER,0.020479
S_D_PER,S_M_REC,0.019557
S_M_REC,S_M_REC,0.019512
P_M_REC,P_M_REC,0.018282
P_A_REC,S_D_PER,0.017986
P_A_PER,S_M_REC,0.017904
P_D_PER,P_D_PER,0.017778
P_M_REC,S_M_PER,0.017367
S_M_PAS,S_A_PER,0.016580
P_D_PER,P_D_PAS,0.016508
P_A_PER,P_M_REC,0.016324
S_D_PER,S_D_REC,0.016297
S_D_PER,S_M_PER,0.016297
P_A_REC,P_A_REC,0.016187
P_D_PAS,P_A_PAS,0.015908
P_M_PER,P_A_REC,0.015299
P_A_FIN,P_M_REC,0.015267
S_D_PER,S_D_PER,0.014993
S_M_REC,S_M_PER,0.014634
P_D_REC,S_A_PER,0.014493
P_D_REC,S_M_PAS,0.014493
P_A_REC,P_A_PER,0.014388
P_A_REC,S_D_PAS,0.014388
S_A_PER,P_M_PAS,0.013451
S_D_REC,P_M_PAS,0.013393
P_A_FIN,P_M_PAS,0.013359
P_A_FIN,P_M_PER,0.013359
S_M_PER,S_A_REC,0.013072
S_A_PER,S_M_PER,0.012059
P_M_PER,P_A_PER,0.012054
P_M_REC,P_M_PER,0.011883
S_A_FIN,S_M_PAS,0.011673
P_A_PER,S_M_PAS,0.011585
P_D_PER,P_A_PAS,0.011429
P_D_PER,P_D_REC,0.010794
P_D_PAS,P_A_PER,0.010678
S_D_PER,S_A_PAS,0.010430
P_A_PER,P_M_PER,0.010005
S_D_REC,P_M_REC,0.009821
S_A_FIN,S_M_REC,0.009728
S_A_REC,S_M_REC,0.009328
P_A_PAS,S_D_PAS,0.009244
P_D_REC,S_M_REC,0.009058
P_A_REC,P_M_PAS,0.008993
P_A_PAS,S_D_REC,0.008889
S_D_PAS,S_A_PAS,0.008267
P_M_REC,S_D_REC,0.008227
P_M_PER,S_A_REC,0.007881
S_A_FIN,P_M_REC,0.007782
P_A_FIN,P_A_FIN,0.007634
P_D_PER,P_A_REC,0.007619
S_M_PER,P_A_PAS,0.007407
S_M_PER,S_D_PAS,0.007407
S_M_PER,S_A_PER,0.006972
S_A_PER,P_M_PER,0.006957
S_D_PER,S_A_REC,0.006519
P_D_PER,P_A_PER,0.006349
S_A_PAS,P_D_PAS,0.006097
P_A_PAS,P_M_PER,0.005867
P_A_FIN,S_M_PER,0.005725
P_A_FIN,S_M_REC,0.005725
S_M_PER,P_A_REC,0.005664
S_A_REC,S_A_REC,0.005597
P_M_PAS,P_D_PER,0.005539
S_D_REC,S_M_PAS,0.005357
P_M_PER,P_D_REC,0.005100
P_M_PER,S_A_PAS,0.004636
P_M_REC,S_D_PAS,0.004570
S_D_REC,P_M_PER,0.004464
P_A_PAS,P_A_REC,0.004444
S_A_PAS,P_D_REC,0.004241
S_D_PAS,S_A_PER,0.004203
P_M_PAS,S_M_PAS,0.004131
S_A_PAS,S_M_PER,0.004109
S_A_FIN,S_A_FIN,0.003891
P_M_PAS,P_A_FIN,0.003756
S_A_REC,P_M_PAS,0.003731
S_A_REC,S_A_PER,0.003731
P_M_REC,P_A_REC,0.003656
P_D_REC,P_M_PAS,0.003623
P_D_REC,P_M_REC,0.003623
P_A_REC,P_M_PER,0.003597
P_A_REC,P_M_REC,0.003597
P_A_REC,S_M_PAS,0.003597
S_M_PER,S_D_REC,0.003486
S_M_PAS,S_D_PER,0.003379
S_M_PER,P_A_PER,0.003050
P_M_PAS,S_M_REC,0.003004
S_M_REC,P_A_PAS,0.002927
S_M_REC,P_D_PAS,0.002927
S_M_REC,P_D_REC,0.002927
S_M_REC,S_A_REC,0.002927
S_M_REC,S_D_PAS,0.002927
S_M_REC,S_D_REC,0.002927
P_M_REC,P_D_REC,0.002742
S_D_REC,S_M_REC,0.002679
P_A_PER,S_M_PER,0.002633
P_D_PAS,S_M_PAS,0.002615
S_D_PAS,P_A_PAS,0.002522
S_M_PAS,P_M_PAS,0.002503
P_D_PAS,S_A_PAS,0.002397
S_A_PER,S_A_FIN,0.002319
P_M_PER,P_D_PAS,0.002318
S_M_PAS,P_M_REC,0.002127
S_A_PAS,S_A_REC,0.001988
S_D_PER,S_A_PER,0.001956
S_M_REC,P_A_REC,0.001951
S_M_REC,S_A_PAS,0.001951
S_A_FIN,S_M_PER,0.001946
S_A_REC,P_M_PER,0.001866
S_A_REC,P_M_REC,0.001866
S_A_REC,S_D_PAS,0.001866
S_A_REC,S_M_PAS,0.001866
S_A_REC,S_M_PER,0.001866
S_A_PAS,P_D_PER,0.001856
P_M_REC,P_A_PAS,0.001828
P_M_REC,P_D_PAS,0.001828
P_M_REC,S_D_PER,0.001828
P_D_REC,S_M_PER,0.001812
P_A_REC,P_D_REC,0.001799
P_A_REC,S_M_REC,0.001799
P_D_PAS,S_A_PER,0.001743
P_D_PAS,S_A_REC,0.001743
S_D_PAS,P_A_REC,0.001681
S_M_PAS,S_A_FIN,0.001627
