from_state,to_state,count
P_M_PAS,P_M_PAS,15165
S_M_PAS,S_M_PAS,10308
P_A_PAS,P_A_PAS,7625
S_D_PAS,S_D_PAS,3498
S_A_PAS,S_A_PAS,3326
P_D_PAS,P_D_PAS,3271
P_M_PAS,P_A_PAS,2044
P_A_PAS,P_A_PER,1645
P_D_PAS,P_M_PAS,1406
S_M_PAS,S_M_PER,1285
S_M_PAS,S_A_PAS,1281
S_D_PAS,S_M_PAS,1273
P_M_PAS,P_M_PER,1225
S_A_PAS,S_A_PER,1188
P_A_PAS,P_M_PAS,961
S_D_REC,S_D_PAS,924
P_M_REC,P_M_PAS,911
S_M_REC,S_M_PAS,910
P_D_REC,P_D_PAS,846
S_D_PAS,S_D_PER,834
S_M_PAS,S_D_PAS,691
P_A_PER,S_D_REC,689
P_M_PAS,P_D_PAS,667
P_D_PAS,P_D_PER,664
P_A_REC,P_A_PAS,539
S_M_PER,P_M_REC,525
S_A_PAS,S_M_PAS,521
P_A_PAS,P_A_FIN,508
S_A_PER,P_D_REC,503
P_M_PER,S_M_REC,499
P_A_PER,S_D_PAS,375
S_A_PER,P_D_PAS,369
S_M_PER,P_M_PAS,365
P_M_PER,S_M_PAS,355
S_A_REC,S_A_PAS,349
P_A_PER,P_A_PAS,312
S_M_PER,P_D_REC,301
S_D_PAS,S_M_PER,282
P_M_PER,S_D_REC,275
P_A_PER,P_A_REC,260
S_A_PAS,S_A_FIN,258
S_M_PAS,S_A_PER,244
S_D_PER,P_M_PAS,242
P_D_PER,S_M_PAS,238
P_M_PER,S_D_PAS,234
P_M_PAS,P_A_PER,227
S_D_PER,P_M_REC,226
P_D_PER,S_M_REC,222
S_M_PER,P_D_PAS,214
P_D_PAS,P_M_PER,213
S_D_PER,P_M_PER,204
S_A_PER,S_A_PAS,187
P_A_PER,S_D_PER,175
S_A_PER,S_A_REC,174
S_A_PER,P_D_PER,173
P_D_PER,S_M_PER,160
P_M_PER,S_M_PER,154
S_M_PER,P_M_PER,149
P_A_FIN,S_D_PAS,146
P_M_PER,P_M_PAS,146
S_D_PER,P_A_REC,132
S_A_PER,S_A_PER,128
S_D_PER,P_A_PAS,126
P_A_PER,P_A_PER,122
P_A_FIN,S_D_PER,119
S_M_PER,S_M_PAS,109
S_M_PER,P_D_PER,103
P_D_PER,S_A_PAS,99
P_D_PER,S_A_REC,99
S_A_FIN,P_D_PAS,82
P_A_FIN,P_A_REC,81
S_A_FIN,P_D_PER,81
S_M_PER,S_M_REC,79
P_M_PER,P_M_REC,78
P_M_PER,S_D_PER,78
S_D_PER,P_D_PAS,76
P_A_FIN,S_M_PAS,75
P_A_FIN,P_A_PAS,70
S_D_PER,S_M_PAS,70
S_D_REC,P_A_PAS,69
S_D_PER,P_D_REC,65
S_D_REC,P_A_REC,63
S_M_PER,S_A_PAS,57
P_D_PER,S_D_PAS,55
P_A_PER,P_M_PAS,54
S_M_PAS,S_D_PER,54
P_A_REC,P_A_FIN,52
P_A_PAS,S_D_REC,49
S_M_REC,P_M_PAS,49
P_A_FIN,P_A_PER,47
P_D_PER,P_M_PAS,47
P_M_REC,S_M_PAS,47
P_D_PER,P_D_PAS,46
P_M_REC,S_M_REC,46
P_A_PER,P_M_REC,44
P_D_REC,S_A_PAS,44
S_A_PAS,P_D_PAS,44
S_M_PER,S_M_PER,44
P_D_REC,S_A_REC,43
P_M_PER,P_A_PAS,43
S_A_PER,S_M_PAS,43
S_D_PAS,S_A_PAS,43
S_D_PER,S_M_REC,43
S_D_REC,S_D_REC,43
S_A_FIN,P_M_PAS,41
S_M_PAS,P_M_PAS,41
P_A_PAS,S_D_PAS,40
S_A_PER,P_M_REC,40
P_M_PAS,P_A_FIN,39
S_A_REC,S_A_FIN,39
S_A_PAS,P_D_REC,38
P_A_FIN,S_D_REC,37
P_M_PAS,P_D_PER,37
P_M_PER,P_M_PER,37
S_A_FIN,S_A_PER,37
S_M_REC,P_M_REC,37
P_D_PAS,P_A_PAS,36
S_A_FIN,S_A_REC,36
S_M_PAS,S_A_FIN,36
P_A_PER,S_M_REC,35
P_M_PAS,S_M_REC,34
S_A_PER,S_M_REC,34
S_D_PAS,S_A_PER,34
P_D_PER,S_A_PER,33
P_A_PAS,P_M_PER,32
S_M_REC,S_M_REC,32
S_D_PER,S_D_PAS,31
S_D_REC,S_D_PER,31
S_M_PAS,P_M_REC,31
S_D_PER,P_A_PER,30
P_D_PER,S_D_PER,29
S_D_PER,P_D_PER,29
P_D_PER,P_M_PER,28
S_A_FIN,S_A_PAS,28
P_M_REC,P_M_REC,27
S_A_PAS,S_M_PER,27
