from_state,to_state,probability
S_M_FIN,P_D_PER,1.000000
S_M_REC,S_M_PAS,0.837167
P_A_REC,P_A_PAS,0.833076
P_M_REC,P_M_PAS,0.827430
P_D_REC,P_D_PAS,0.823759
S_A_REC,S_A_PAS,0.794989
S_D_REC,S_D_PAS,0.781065
P_M_PAS,P_M_PAS,0.776975
P_M_FIN,S_D_PAS,0.750000
S_M_PAS,S_M_PAS,0.733927
P_A_PAS,P_A_PAS,0.699092
S_A_PAS,S_A_PAS,0.611397
S_D_PAS,S_D_PAS,0.579619
P_D_PAS,P_D_PAS,0.577813
P_A_PER,S_D_REC,0.325153
S_A_PER,P_D_REC,0.295708
S_M_PER,P_M_REC,0.258366
P_M_PER,S_M_REC,0.254203
P_M_FIN,S_D_PER,0.250000
P_D_PAS,P_M_PAS,0.248366
S_A_FIN,P_D_PAS,0.241888
P_A_FIN,S_D_PAS,0.240132
S_A_FIN,P_D_PER,0.238938
S_A_PAS,S_A_PER,0.218382
S_A_PER,P_D_PAS,0.216931
S_D_PAS,S_M_PAS,0.210936
P_D_PER,S_M_PAS,0.205882
P_A_FIN,S_D_PER,0.195724
P_D_PER,S_M_REC,0.192042
P_M_PER,S_M_PAS,0.180846
S_M_PER,P_M_PAS,0.179626
S_D_PER,P_M_PAS,0.177419
P_A_PER,S_D_PAS,0.176970
S_D_PER,P_M_REC,0.165689
P_A_PAS,P_A_PER,0.150821
S_D_PER,P_M_PER,0.149560
S_M_PER,P_D_REC,0.148130
P_A_PER,P_A_PAS,0.147239
P_M_PER,S_D_REC,0.140092
P_D_PER,S_M_PER,0.138408
S_D_PAS,S_D_PER,0.138194
P_A_FIN,P_A_REC,0.133224
P_A_FIN,S_M_PAS,0.123355
P_A_PER,P_A_REC,0.122699
S_A_FIN,P_M_PAS,0.120944
P_M_PER,S_D_PAS,0.119205
P_D_PAS,P_D_PER,0.117294
P_A_FIN,P_A_PAS,0.115132
S_A_PER,S_A_PAS,0.109935
S_A_FIN,S_A_PER,0.109145
S_A_FIN,S_A_REC,0.106195
S_M_PER,P_D_PAS,0.105315
P_M_PAS,P_A_PAS,0.104724
S_A_PER,S_A_REC,0.102293
S_A_PER,P_D_PER,0.101705
S_D_PER,P_A_REC,0.096774
S_A_PAS,S_M_PAS,0.095772
S_D_PER,P_A_PAS,0.092375
S_M_PAS,S_M_PER,0.091492
S_M_PAS,S_A_PAS,0.091207
S_A_REC,S_A_FIN,0.088838
P_A_PAS,P_M_PAS,0.088109
P_D_PER,S_A_PAS,0.085640
P_D_PER,S_A_REC,0.085640
S_A_FIN,S_A_PAS,0.082596
P_A_PER,S_D_PER,0.082586
P_A_REC,P_A_FIN,0.080371
P_M_PER,S_M_PER,0.078451
P_A_FIN,P_A_PER,0.077303
S_A_PER,S_A_PER,0.075250
P_M_PER,P_M_PAS,0.074376
S_M_PER,P_M_PER,0.073327
P_M_PAS,P_M_PER,0.062763
S_A_FIN,P_D_REC,0.061947
P_A_FIN,S_D_REC,0.060855
S_D_REC,P_A_PAS,0.058326
P_A_PER,P_A_PER,0.057574
S_D_PER,P_D_PAS,0.055718
S_M_PER,S_M_PAS,0.053642
S_D_REC,P_A_REC,0.053254
S_D_PER,S_M_PAS,0.051320
S_M_PER,P_D_PER,0.050689
S_M_PAS,S_D_PAS,0.049199
S_A_REC,P_D_REC,0.047836
S_D_PER,P_D_REC,0.047654
P_D_PER,S_D_PAS,0.047578
S_A_PAS,S_A_FIN,0.047426
S_D_PAS,S_M_PER,0.046727
P_A_PAS,P_A_FIN,0.046576
S_M_REC,P_M_PAS,0.045078
P_D_REC,S_A_PAS,0.042843
P_M_REC,S_M_PAS,0.042688
P_D_REC,S_A_REC,0.041870
P_M_REC,S_M_REC,0.041780
P_D_PER,P_M_PAS,0.040657
P_D_PER,P_D_PAS,0.039792
P_M_PER,P_M_REC,0.039735
P_M_PER,S_D_PER,0.039735
S_M_PER,S_M_REC,0.038878
P_D_PAS,P_M_PER,0.037626
S_D_REC,S_D_REC,0.036348
P_M_PAS,P_D_PAS,0.034174
S_M_REC,P_M_REC,0.034039
S_D_PER,S_M_REC,0.031525
S_M_REC,S_M_REC,0.029439
P_D_PER,S_A_PER,0.028547
S_M_PER,S_A_PAS,0.028051
S_D_REC,S_D_PER,0.026205
P_A_PER,P_M_PAS,0.025484
S_A_PER,S_M_PAS,0.025279
P_D_PER,S_D_PER,0.025087
S_A_REC,P_D_PAS,0.025057
P_M_REC,P_M_REC,0.024523
P_D_PER,P_M_PER,0.024221
S_A_PER,P_M_REC,0.023516
S_D_PER,S_D_PAS,0.022727
P_D_PER,P_M_REC,0.022491
P_D_PER,S_D_REC,0.022491
S_D_PER,P_A_PER,0.021994
P_M_PER,P_A_PAS,0.021905
S_M_PER,S_M_PER,0.021654
S_D_PER,P_D_PER,0.021261
S_M_REC,P_M_PER,0.021159
P_M_REC,S_M_PER,0.020890
P_A_PER,P_M_REC,0.020765
S_A_PER,S_M_REC,0.019988
P_D_REC,P_D_REC,0.019474
P_M_PER,P_M_PER,0.018849
P_A_REC,S_D_PAS,0.018547
P_D_REC,P_D_PER,0.018500
P_A_FIN,P_M_PAS,0.018092
S_A_FIN,S_M_REC,0.017699
P_D_REC,S_A_PER,0.017527
S_M_PAS,S_A_PER,0.017373
P_A_REC,P_A_REC,0.017002
P_A_REC,S_D_REC,0.017002
P_A_PER,S_M_REC,0.016517
P_A_FIN,P_M_REC,0.016447
P_D_PER,P_D_PER,0.016436
S_D_PER,S_D_PER,0.016129
S_D_PER,S_M_PER,0.016129
S_A_REC,P_D_PER,0.015945
S_A_PER,P_M_PAS,0.015285
S_A_FIN,S_M_PAS,0.014749
